imdb_title_id,title,original_title,year,country,budget,avg_vote,votes,Comedy,Drama,Crime,Romance,Biography,History,Thriller,Action,Music,War,Adventure,Family,Fantasy,Horror,Mystery,Western,Sci-Fi,Animation,Musical,Sport,cluster,cluster2
tt0263124,Bicho de Sete Cabeças,Bicho de Sete Cabeças,2000,Brazil,$ 700000,7.7,4771,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5
tt0263156,Brava Gente Brasileira,Brava Gente Brasileira,2000,"Brazil, Portugal",NA,6.4,268,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,96,5
tt0264079,Tainá: Uma Aventura na Amazônia,Tainá: Uma Aventura na Amazônia,2000,Brazil,BRL 4000000,5,325,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,9,2
tt0264446,Bufo & Spallanzani,Bufo & Spallanzani,2001,Brazil,NA,6.6,376,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,1
tt0271383,O Auto da Compadecida,O Auto da Compadecida,2000,Brazil,NA,8.6,11127,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,10
tt0275915,Amores Possíveis,Amores Possíveis,2001,Brazil,NA,6.6,1038,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
tt0277092,Latitude Zero,Latitude Zero,2001,Brazil,NA,6.5,136,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5
tt0279783,Domésticas: O Filme,Domésticas: O Filme,2001,Brazil,NA,7.1,1208,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
tt0282496,Swarm - Minaccia dalla giungla,Flying Virus,2001,"USA, Brazil",NA,3.4,850,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,8,1
tt0284345,Netto Perde Sua Alma,Netto Perde Sua Alma,2001,Brazil,$ 1300000,6.9,160,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,96,5
tt0285683,El lugar donde estuvo el paraíso,El lugar donde estuvo el paraíso,2002,"Spain, Argentina, Germany, Brazil",NA,5,122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5
tt0286320,Xuxa Popstar,Xuxa Popstar,2000,Brazil,BRL 2800000,1.5,732,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,4
tt0286560,Copacabana,Copacabana,2001,Brazil,NA,6.3,236,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
tt0287625,A Partilha,A Partilha,2001,Brazil,NA,6.5,726,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
tt0289944,Fear X,Fear X,2003,"Denmark, Canada, UK, Brazil",$ 6600000,6,6746,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,97,6
tt0291003,Disperato aprile,Abril Despedaçado,2001,"Brazil, France, Switzerland",NA,7.6,6700,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5
tt0291959,O Grilo Feliz,O Grilo Feliz,2001,Brazil,NA,5.7,138,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,8,1
tt0293007,Carandiru,Carandiru,2003,"Brazil, Argentina, Italy",BRL 12000000,7.6,17757,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9
tt0293086,Desmundo,Desmundo,2002,"Brazil, Portugal",NA,7,451,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5
tt0293484,A Paixão de Jacobina,A Paixão de Jacobina,2002,Brazil,NA,3.9,142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5
tt0293495,Papà Rua Alguem 5555,"My Father, Rua Alguem 5555",2003,"Italy, Brazil, Hungary",NA,6.6,200,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,96,5
tt0294349,Bellini e a Esfinge,Bellini e a Esfinge,2002,Brazil,NA,6.2,297,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
tt0294543,Xuxa e os Duendes,Xuxa e os Duendes,2001,Brazil,NA,1.9,537,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,3
tt0297856,I giorni di Nietzsche a Torino,Dias de Nietzsche em Turim,2001,Brazil,NA,6.3,269,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,5
tt0298786,Caramuru: A Invenção do Brasil,Caramuru: A Invenção do Brasil,2001,Brazil,NA,6.5,1342,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,4
tt0303408,O Invasor,O Invasor,2001,Brazil,NA,7.1,1610,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,6
tt0304513,Avassaladoras,Avassaladoras,2002,Brazil,NA,4.9,392,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4
tt0304906,Viva Sapato!,Viva Sapato!,2003,"Brazil, Spain",$ 1000000,4.7,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3
tt0312043,Xuxa e os Duendes 2: No Caminho das Fadas,Xuxa e os Duendes 2: No Caminho das Fadas,2002,Brazil,NA,1.8,470,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,9,2
tt0312773,O Homem do Ano,O Homem do Ano,2003,Brazil,NA,7.2,2737,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,9
tt0314009,Durval Discos,Durval Discos,2002,Brazil,NA,7,992,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,10
tt0317248,City of God,Cidade de Deus,2002,"Brazil, France, Germany",BRL 3300000,8.6,685856,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9
tt0317887,Madame Satã,Madame Satã,2002,"Brazil, France",NA,7.1,2616,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9
tt0318462,I diari della motocicletta,Diarios de motocicleta,2004,"Argentina, USA, Chile, Peru, Brazil, UK, Germany, France",NA,7.8,95403,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,8
tt0318590,Cazuza: O Tempo Não Pára,Cazuza: O Tempo Não Pára,2004,Brazil,NA,6.9,3471,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,8
